Author,Rating,Review_Title,Review
richard,5,Great product,The sales people are really nice and knowledgeable to me I will come back again
richard,5,Great product,Great product and service and the sales man r really nice.
richard,5,Great product and service,Great product and service will refer to a friend. And the sales man r good
Richard,5,very good product and service.,very good product and service will refer a friend.
Scheu,5,Good selection.,Great selections. Hard to find assistance at times.
Shanner732,5,Exactly what I wanted,This kindle is a basic and easy to use eReader. Exactly what I wanted. The charge lasts for a long time so you don't have to worry about charging it daily.
LMoTX,3,Good but not great,Disappointed to realize there is not a light for night reading. Size and weight is great.
paulinhala,3,OK,It is affordable and it had Increased storage but no backlight and the screen could be better!
Steve,5,Great kindle.,Very good reading on this good and strong quality kindle
llyyue,3,Too small,I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.
Wheels,5,Love it!,I particularly like the fact that the text shows up and you can see it well outside on a sunny day. I use it with Kindle Unlimited.
MrPhilTX,4,Great reader but not perfect,"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books."
Bubba,5,Love to read,I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month
Shashi,4,Great buy if you read a lot,"This is really good if you read a lot, doesn't strain your eyes and very light weight. Only demerit is - cant use in night if there is not enough light."
steve,5,Great kindle,Excellent product very good piece strongly recommend
nhojmcqueen,4,Great Gift For The Bookworm!!!,The Amazon Kindle is a good gift for the bookworm in your life. The lightweight and simplistic operating system allows for easy and enjoyable reading without all of the extras of a tablet. Great product for your money!!
CrAZyMom,5,Kindle for my kid,"In trying to get my son to read more and thought a kindle would help. First I got a good deal on an old kindle model that had been refurbished and it quickly broke. I had a gift card to Best Buy and this one was on sale, so I got it for him. I also bought him a silicone case and bought a Best Buy warranty. It is much easier to use this model vs the old one that he had originally, and I like that you can use FreeTime app on this device but you only just get the books. I also use overdrive to get him books from the library. So far it is working great for us. I bought this at Best Buy instead of getting it online from Amazon because I like the Best Buy warranty and that they are easier to deal with than Amazon."
DowntownBrown,5,Great reader,The Kindle is great for reading on the go when I can't carry around a lot of books.
YogiGG,5,Replacing old Kindle,Great buy! Bought it to replace a first generation Kindle.
Eleanor,5,Love it,"Perfect size, so easy to carry around. Long lasting battery life. Would reccomend!"
KelBiggs,5,Similar to reading off a book,Easy to use and similar to using a book. Love it! I would buy again!
Ashrag,4,Wonderful value for the money,"Nice product, great price and expandable storage unlike the HD version"
Chris,5,Great kindle,My wife likes it because she can read all different kind of books
cruiser007,5,PERFECT,FOR ITS SIZE IF OK THE VALUE MY WIFE LOVE IT SHE USE IT ALL THE TIME
DragonHawk1960,3,Feels cheap,In my opinion this model is too small and feels cheap. And sd card slot.
Dottie,5,A great deal on a Kindle!,I am enjoying my Kindle very much! Easy to down load books and easy to read! Very happy with my purchase!
Momo,4,Better than reading on my phone...,I bought the Amazon Kindle so I could enjoy reading without lugging around multiple books. I usually read my ebooks on the Kindle app but I have gotten frustrated with my phone/tablet going into sleep mode. This Kindle is sufficient for my needs. I purchased a reading light for when I'm in low-light situations and it works very well. I am satisfied with my purchase.
Jeff,4,Great product,My fiance really enjoyes it! I would definitely recommend.
nhojmcqueen,4,Great Gift For The Bookworm!!!,The Amazon Kindle is a great device to enjoy reading before bed. The device is small and lightweight which is better than holding onto a heavier tablet.
BestBuyUser,3,Good for beginners,"Its a decent reader for beginners. There is no backlight, so not good for reading in dark. also slips from hands, so purchase a cover if you buy it."
nolancin,5,Great ebook reader,"Super easy to use and very gentle on your eyes, I've tried many e-readers but I'll definitely stick to this one."
Theresa,4,Great Kindle quality for a reasonable price.,"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle."
edmr,5,Has all I need,It is great to be able to have all you books in the same place...
IwasCold,4,Good reader,"This is my first e-reader. I like it so far. Easy to use interface. The ads can be kind of annoying, but keeps cost lower."
Karch,4,Nice ereader,Nice basic reader. Had the first model kindle and this is quite a bit lighter
ThisClickAintFree,5,Simple and easy to read,"Great starter eReader, very simply does what it's made to do."
JuneFlo,4,Great device for reading,Great way to read books available for downloads from the library
RH1234,5,Fantastic E Reader,"This Kindle has no extra bells or whistles that would cause major battery drainage. Sometimes less is more. No distractions to keep you from reading, no backlights to fatigue your eyes. Be aware that you can't read this Kindle in the dark.Pretty simple to operate. FYI there is no wall plug adapter for this unit only the USB cord that plugs into the Kindle, and computer for charging. You can buy an adapter separately. If you have the Kindle Fire HDX that adapter works with this kindle. You can use that adapter to charge it from the electrical outlet.I recently purchased this Kindle. I do have had other Kindles, and enjoy them immensely.I purchased this one for outdoor use.So far I Love it!"
mao1,5,easy to use,"Great item, easy to use,would recommend to anybody want to use!"
Daniel,3,Font size changes with no way to lock it,There is no way to lock the font size and it changes if you touch the screen. I liked my paper white better but it died.
Stuart,5,"Simple, competent reader for Kindle books","After using a series of low end tablets as an e-Reader, I purchased this on sale for $50. It only really does one thing - display Kindle books in normal lighting, but it does it well.Size, feel, and battery life are all good, and unlike LCD-based tablets it is easy to read outside. The Amazon lock-screen ads are not that intrusive, and easy to ignore."
nonny,5,replacement kindle,this item is a great upgrade from my last kindle.everything is touch screen and is faster than before
chi20,4,Light and portable,This devices is great for storing all my amazon books. It is also very light and portable. Simple to use as well.
nikb,4,Great !! But the UI could be better,"This is a great product, my 8yr son is completely hooked onto it. The only change I would say it making the interface a little easier to use."
Gladys,5,Favorite version so far,"I've owned a couple of Kindles. This one is my favorite thus far. The screen is a little too sensitive for my liking but other than that, great!"
davidjacobs21,5,Great Reader,Got this on sale for a great price and is a great product.
iPhone5SReview,5,Nicely designed for its intended usage,"Small, light easy to read in any lighting. If you are looking for a device that serves one purpose, to read books anywhere, this is for you."
Tarun,5,Nice reading device,I am happy as i bought it for reading and it is good.
MacFam,4,Good to have,"I am very happy with my e-reader. It is so practical for reading along with my daughter. she has one as well, and we use them to read every night as required by her 4th grade class curriculum."
drd1,5,Great reading tool,I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.
Tdobby13,5,great upgrade,"I've been using the original B&N Nook ereader for several years now. I finally decided to upgrade. I wish I'd done it a lot sooner. The new Kindle touchscreen ereader is phenomenal.The device is light and easy to carry, almost unbelievably so. It is fast and responsive and touch screen has 0 delay. I would recommend anybody in the market for this one buy one immediately. You won't regret it."
Dani,5,Great product,Easy to navigate. Daughter loves it. It's lightweigh and its just what she needed for this avid reader.
kimsanity,4,Great Value,This little device is great for it price. Lots of features.
geeglobes,5,Good ereader. Great for when I travel.,"At first I thought my reader was broken but discovered, by accident, that my touch must be very light."
